N	array1	array2	array3	conditional	ht-cond-mem-get	loop-inter	array-disjoint	ht-add-put	ht-cond-size-get	ht-simple	calc	matrix	counter	dict	loop-disjoint	loop-simple	linear	nonlinear	simple	even-odd	linear-bool	linear-cond	dot-product	loop-amt
10	0.000102	0.000092	0.000061	0.000050	0.000107	0.000068	0.000051	0.000093	0.000051	0.000089	0.000053	0.000064	0.000061	0.000083	0.000043	0.000110	0.000064	0.000077	0.000073	0.000094	0.000055	0.000090	0.000058	0.000068
20	0.000077	0.000081	0.000060	0.000037	0.000110	0.000064	0.000051	0.000073	0.000049	0.000114	0.000078	0.000056	0.000073	0.000102	0.000053	0.000108	0.000048	0.000069	0.000078	0.000068	0.000086	0.000071	0.000077	0.000079
50	0.000081	0.000089	0.000073	0.000037	0.000088	0.000043	0.000038	0.000079	0.000059	0.000135	0.000074	0.000057	0.000068	0.000073	0.000057	0.000184	0.000061	0.000289	0.000056	0.000083	0.000048	0.000089	0.000069	0.000102
100	0.000092	0.000084	0.000056	0.000036	0.000093	0.000051	0.000091	0.000077	0.000051	0.000079	0.000064	0.000068	0.000082	0.000079	0.000077	0.000254	0.000070	0.000074	0.000058	0.000068	0.000068	0.000077	0.000073	0.000139
200	0.000078	0.000088	0.000059	0.000039	0.000089	0.000052	0.000047	0.000063	0.000049	0.000111	0.000085	0.000067	0.000082	0.000104	0.000111	0.000339	0.000064	0.000079	0.000063	0.000079	0.000089	0.000089	0.000073	0.000248
500	0.000082	0.000092	0.000048	0.000043	0.000117	0.000069	0.000051	0.000077	0.000034	0.000082	0.000077	0.000062	0.000065	0.000088	0.000246	0.000668	0.000046	0.000073	0.000044	0.000078	0.000073	0.000085	0.000067	0.000535
1000	0.000076	0.000067	0.000056	0.000042	0.000129	0.000068	0.000057	0.000064	0.000066	0.000096	0.000072	0.000065	0.000077	0.000083	0.000423	0.001289	0.000057	0.000082	0.000068	0.000079	0.000078	0.000091	0.000071	0.000945
2000	0.000068	0.000089	0.000052	0.000068	0.000082	0.000064	0.000054	0.000089	0.000066	0.000126	0.000073	0.000105	0.000086	0.000080	0.000659	0.002309	0.000073	0.000271	0.000056	0.000062	0.000078	0.000083	0.000069	0.002186
5000	0.000093	0.000106	0.000063	0.000029	0.000111	0.000051	0.000066	0.000116	0.000068	0.000108	0.000103	0.000059	0.000111	0.000103	0.002717	0.004644	0.000083	0.000076	0.000060	0.000063	0.000066	0.000087	0.000072	0.003429
10000	0.000066	0.000094	0.000080	0.000044	0.000108	0.000055	0.000052	0.000093	0.000068	0.000106	0.000075	0.000059	0.000086	0.000072	0.003419	0.007437	0.000065	0.000087	0.000093	0.000069	0.000073	0.000083	0.000057	0.005671
20000	0.000101	0.000094	0.000053	0.000048	0.000102	0.000071	0.000064	0.000082	0.000076	0.000088	0.000072	0.000074	0.000077	0.000077	0.007065	0.013386	0.000064	0.000083	0.000064	0.000067	0.000064	0.000093	0.000066	0.010518
50000	0.000117	0.000088	0.000098	0.000056	0.000141	0.000111	0.000078	0.000101	0.000063	0.000123	0.000077	0.000129	0.000083	0.000102	0.013426	0.032886	0.000101	0.000084	0.000084	0.000090	0.000077	0.000101	0.000079	0.024668
100000	0.000116	0.000102	0.000084	0.000065	0.000147	0.000150	0.000096	0.000121	0.000081	0.000122	0.000092	0.000127	0.000135	0.000115	0.028081	0.058109	0.000106	0.000091	0.000084	0.000155	0.000101	0.000104	0.000102	0.047241
200000	0.000166	0.000142	0.000116	0.000108	0.000140	0.000213	0.000134	0.000156	0.000103	0.000216	0.000165	0.000128	0.000134	0.000142	0.045423	0.113529	0.000112	0.000518	0.000116	0.000184	0.000130	0.000135	0.000122	0.092970
500000	0.000371	0.000296	0.000311	0.000195	0.000377	0.000674	0.000204	0.000397	0.000273	0.000309	0.000245	0.000283	0.000220	0.000275	0.128067	0.280075	0.000224	0.000574	0.000218	0.000366	0.000286	0.000265	0.000295	0.234598
1000000	0.000503	0.000365	0.000380	0.000342	0.000693	0.000963	0.000494	0.000697	0.000483	0.000838	0.000382	0.000505	0.000510	0.000386	0.265030	0.559614	0.000530	0.000714	0.000392	0.000671	0.000354	0.000535	0.000368	0.459732
2000000	0.000669	0.000715	0.000819	0.000653	0.000700	0.001865	0.000712	0.001294	0.000666	0.001054	0.000658	0.000684	0.000976	0.000671	0.413830	1.103878	0.000696	0.001257	0.000830	0.001271	0.000666	0.000712	0.000652	0.936163
5000000	0.002316	0.001645	0.001958	0.001623	0.002350	0.004565	0.001541	0.003116	0.001661	0.002377	0.001573	0.001678	0.001592	0.001571	1.203535	2.764270	0.001565	0.001910	0.001547	0.003072	0.001561	0.002001	0.001560	2.390408
10000000	0.004890	0.003305	0.003648	0.003137	0.004620	0.007893	0.004965	0.006230	0.003094	0.003131	0.003090	0.003106	0.003436	0.003606	1.580210	5.653844	0.003414	0.003474	0.003081	0.006162	0.003248	0.003432	0.003457	4.723747
20000000	0.006563	0.006363	0.006514	0.006581	0.006412	0.018621	0.006511	0.009171	0.006523	0.006646	0.006590	0.006723	0.006715	0.006629	4.005061	11.114398	0.006566	0.006645	0.006546	0.012755	0.006492	0.006576	0.006622	9.454023
50000000	0.020435	0.015768	0.015692	0.015838	0.030898	0.046087	0.015616	0.031027	0.022518	0.015430	0.015677	0.016053	0.015763	0.015616	13.029028	27.912118	0.015807	0.015883	0.020285	0.031566	0.015574	0.015675	0.015792	24.052283
100000000	0.030788	0.030676	0.031025	0.031234	0.030496	0.091631	0.030831	0.030653	0.030736	0.061452	0.030985	0.031258	0.036851	0.031010	26.815942	55.101768	0.030939	0.031012	0.030995	0.061542	0.030942	0.030980	0.031052	46.477503